"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","MA1","MV1","MW1","MW2","MW3","OC1","REM","EQD"
"72503814714","2016-01-01T00:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","300,1,N,0051,1","01067,1,9,N","016093,1,9,9","+0040,1","+0000,1","99999,9",,,,,,,,,,,,,,,,"4,99,1,+01067,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01067,1,99,9,99,9","10186,1,99999,9",,,,,,"MET051METAR KSWF 010045Z 30010KT 10SM OVC035 04/00 A3008=",
"72503814714","2016-01-01T01:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","290,1,N,0041,1","01067,1,9,N","016093,1,9,9","+0040,1","-0010,1","99999,9",,,,,,,,,,,,,,,,"4,99,1,+01067,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01067,1,99,9,99,9","10190,1,99999,9",,,,,"0072,1","MET055METAR KSWF 010145Z 29008G14KT 10SM OVC035 04/M01 A3009=",
"72503814714","2016-01-01T02:45:00","4","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","99999","V020","280,1,N,0067,1","00914,1,9,N","016093,1,9,9","+0040,1","-0010,1","99999,9",,,,,,,,,,,,,,,,"4,99,1,+00914,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10186,1,99999,9",,,,,,"MET052METAR KSWF 010245Z 28013KT 10SM OVC030 04/M01 A3008=",
"72503814714","2016-01-01T03:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","301,5,N,0051,5","00914,5,M,N","016093,5,N,5","+0030,C","-0010,C","99999,9",,,,,,,,,,,,,"08,5,+00914,5,99,9",,,"4,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10183,5,10003,5",,,,,"0077,5","MET07612/31/15 22:45:02 METAR KSWF 010345Z 30101G15KT 10SM OVC030 03/M01 A3007 RMK","R01    037TMP046R02   M017DPT046"
"72503814714","2016-01-01T04:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","300,5,N,0051,5","00914,5,M,N","016093,5,N,5","+0030,C","-0020,C","99999,9",,,,,,,,,,,,,"08,5,+00914,5,99,9",,,"4,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10179,5,10000,5",,,,,"0077,5","MET07612/31/15 23:45:02 METAR KSWF 010445Z 30010G15KT 10SM OVC030 03/M02 A3006 RMK","R01    037TMP046R02   M027DPT046"
"72503814714","2016-01-01T05:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","300,5,N,0051,5","00914,5,M,N","016093,5,N,5","+0030,C","-0020,C","99999,9",,,,,,,,,,,,,"08,5,+00914,5,99,9",,,"4,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10173,5,09993,5",,,,,,"MET07301/01/16 00:45:02 METAR KSWF 010545Z 30010KT 10SM OVC030 03/M02 A3004 RMK","R01    037TMP046R02   M027DPT046"
"72503814714","2016-01-01T06:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","300,5,N,0051,5","00914,5,M,N","016093,5,N,5","+0030,C","-0010,C","99999,9",,,,,,,,,,,,,"08,5,+00914,5,99,9",,,"4,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10173,5,09993,5",,,,,,"MET07301/01/16 01:45:02 METAR KSWF 010645Z 30010KT 10SM OVC030 03/M01 A3004 RMK","R01    037TMP046R02   M017DPT046"
"72503814714","2016-01-01T08:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","300,5,N,0051,5","00914,5,M,N","016093,5,N,5","+0030,C","-0010,C","99999,9",,,,,,,,,,,,,"08,5,+00914,5,99,9",,,"4,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10169,5,09990,5",,,,,,"MET07301/01/16 03:45:02 METAR KSWF 010845Z 30010KT 10SM OVC030 03/M01 A3003 RMK","R01    037TMP046R02   M017DPT046"
"72503814714","2016-01-01T09:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","280,5,N,0051,5","00914,5,M,N","016093,5,N,5","+0020,C","-0010,C","99999,9",,,,,,,,,,,,,"08,5,+00914,5,99,9",,,"4,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10163,5,09983,5",,,,,,"MET07301/01/16 04:45:02 METAR KSWF 010945Z 28010KT 10SM OVC030 02/M01 A3001 RMK","R01    027TMP046R02   M017DPT046"
"72503814714","2016-01-01T10:45:00","7","41.5","-74.1","177.1","STEWART FIELD, NY US","FM-15","KSWF ","V020","280,5,N,0051,5","01067,5,M,N","016093,5,N,5","+0020,C","-0010,C","99999,9",,,,,,,,,,,,,"08,5,+01067,5,99,9",,,"4,99,1,+01067,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01067,1,99,9,99,9","10163,5,09983,5",,,,,,"MET07301/01/16 05:45:02 METAR KSWF 011045Z 28010KT 10SM OVC035 02/M01 A3001 RMK","R01    027TMP046R02   M017DPT046"
