"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AT1","AT2","AT3","AT4","AT5","AT6","AU1","AU2","AU3","AW1","AW2","AW3","AW4","AX1","AX2","AX3","AX4","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","OC1","OD1","OE1","OE2","OE3","WA1","REM","EQD"
"72503614757","2019-01-01T00:53:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-15","KPOU ","V020","130,5,N,0031,5","00488,5,M,N","006437,5,N,5","+0044,5","+0028,5","10174,5","01,0041,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"2,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","62,5",,,,,,,"08,5,+00488,5,99,9",,,"4,99,1,+00488,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00488,1,99,9,99,9",,,,,,,,,,,"10176,5,10117,5",,,,,,"65,5",,,,,,,"MET11112/31/18 19:53:01 METAR KPOU 010053Z 13006KT 4SM RA BR OVC016 04/03 A3005 RMK AO2 PRESFR SLP174 P0016 T00440028",
"72503614757","2019-01-01T01:51:00","6","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-16","KPOU ","V020","130,5,N,0021,5","00427,5,M,N","006437,5,N,5","+0040,5","+0030,5","99999,9",,,,,,,,,,,,,,,,,,,,,,,,,,"3,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","63,5",,,,,,,"08,5,+00427,5,99,9",,,"4,99,1,+00427,5,9",,,,,,,,,,,,,,,"10159,5,10100,5",,,,,,"63,5",,,,,,,"MET09312/31/18 20:51:03 SPECI KPOU 010151Z 13004KT 4SM +RA BR OVC014 04/03 A3000 RMK AO2 P0009 FIBI",
"72503614757","2019-01-01T01:53:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-15","KPOU ","V020","999,9,C,0000,5","00427,5,M,N","004828,5,N,5","+0044,5","+0033,5","10154,5","01,0025,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"3,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","63,5",,,,,,,"08,5,+00427,5,99,9",,,"4,99,1,+00427,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00427,1,99,9,99,9",,,,,,,,,,,"10156,5,10097,5",,,,,,"63,5",,,,,,,"MET10512/31/18 20:53:01 METAR KPOU 010153Z 00000KT 3SM +RA BR OVC014 04/03 A2999 RMK AO2 SLP154 P0010 T00440033",
"72503614757","2019-01-01T02:27:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-16","KPOU ","V020","130,5,N,0015,5","00488,5,M,N","009656,5,N,5","+0050,5","+0033,5","99999,9","01,0015,3,1",,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,,,,,"07,5,+00488,5,99,9","08,5,+00640,5,99,9",,"3,99,1,+00488,5,9","4,99,1,+00640,5,9",,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00488,1,99,9,99,9",,,,,,,,,,,"10146,5,10087,5",,,,,,"61,5",,,,,,,"MET10512/31/18 21:27:01 SPECI KPOU 010227Z 13003KT 6SM -RA BR BKN016 OVC021 05/03 A2996 RMK AO2 P0006 T00500033",
"72503614757","2019-01-01T02:53:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-15","KPOU ","V020","330,5,N,0026,5","00457,5,M,N","008047,5,N,5","+0050,5","+0033,5","10140,5","01,0023,9,5","03,0089,9,1",,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,,,,,"08,5,+00457,5,99,9",,,"4,99,1,+00457,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00457,1,99,9,99,9",,,,,,,,,,,"10142,5,10083,5","6,9,060,9,+999,9",,,,,"61,5",,,,,,,"MET11712/31/18 21:53:01 METAR KPOU 010253Z 33005KT 5SM -RA BR OVC015 05/03 A2995 RMK AO2 SLP140 P0009 60035 T00500033 56060","Q01  00888PRCP03"
"72503614757","2019-01-01T03:09:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-16","KPOU ","V020","999,9,C,0000,5","00457,5,M,N","004023,5,N,5","+0044,5","+0033,5","99999,9","01,0012,3,1",,,,,,,,,,,,,,,,,,,,,,,,,"2,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","62,5",,,,,,,"08,5,+00457,5,99,9",,,"4,99,1,+00457,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00457,1,99,9,99,9",,,,,,,,,,,"10135,5,10077,5",,,,,,"65,5",,,,,,,"MET10812/31/18 22:09:01 SPECI KPOU 010309Z 00000KT 2 1/2SM RA BR OVC015 04/03 A2993 RMK AO2 PRESFR P0005 T00440033",
"72503614757","2019-01-01T03:50:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-16","KPOU ","V020","999,9,C,0000,5","00579,5,M,N","002414,5,N,5","+0040,5","+0030,5","99999,9","01,0050,3,1",,,,,,,,,,,,,,,,,,,,,,,,,"2,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","62,5",,,,,,,"08,5,+00579,5,99,9",,,"4,99,1,+00579,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9",,,,,,,,,,,"10122,5,10063,5",,,,,,"65,5",,,,,,,"MET09112/31/18 22:50:03 SPECI KPOU 010350Z 00000KT 1 1/2SM RA BR OVC019 04/03 A2989 RMK AO2 P0020",
"72503614757","2019-01-01T03:53:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-15","KPOU ","V020","320,5,N,0015,5","00579,5,M,N","002012,5,N,5","+0039,5","+0033,5","10118,5","01,0053,9,5",,,,,,,,,,,,,,,,,,,,,,,,,"2,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","62,5",,,,,,,"08,5,+00579,5,99,9",,,"4,99,1,+00579,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9",,,,,,,,,,,"10122,5,10063,5",,,,,,"65,5",,,,,,,"MET10812/31/18 22:53:03 METAR KPOU 010353Z 32003KT 1 1/4SM RA BR OVC019 04/03 A2989 RMK AO2 SLP118 P0021 T00390033",
"72503614757","2019-01-01T04:38:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-16","KPOU ","V020","999,9,C,0000,5","00518,5,M,N","003219,5,N,5","+0044,5","+0039,5","99999,9","01,0025,3,1",,,,,,,,,,,,,,,,,,,,,,,,,"2,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","62,5",,,,,,,"07,5,+00518,5,99,9","08,5,+00640,5,99,9",,"3,99,1,+00518,5,9","4,99,1,+00640,5,9",,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9",,,,,,,,,,,"10098,5,10040,5",,,,,,"65,5",,,,,,,"MET11112/31/18 23:38:03 SPECI KPOU 010438Z 00000KT 2SM RA BR BKN017 OVC021 04/04 A2982 RMK AO2 PRESFR P0010 T00440039",
"72503614757","2019-01-01T04:46:00","7","41.62574","-73.88156","50.6","POUGHKEEPSIE AIRPORT, NY US","FM-16","KPOU ","V020","999,9,C,0000,5","00518,5,M,N","002414,5,N,5","+0044,5","+0039,5","99999,9","01,0027,3,1",,,,,,,,,,,,,,,,,,,,,,,,,"1,0,02,0,0,1,5","0,0,00,1,0,1,5",,"10,5","61,5",,,,,,,"08,5,+00518,5,99,9",,,"4,99,1,+00518,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9",,,,,,,,,,,"10095,5,10036,5",,,,,,"61,5",,,,,,,"MET10912/31/18 23:46:03 SPECI KPOU 010446Z 00000KT 1 1/2SM -RA BR OVC017 04/04 A2981 RMK AO2 PRESFR P0011 T00440039",
